estimator,min_score,mean_score,max_score,std_score,C,max_iter,penalty,solver,alpha,loss,kernel,criterion,max_features,n_estimators,learning_rate
LogisticRegression,0.7405289492494639,0.7534795632939878,0.7672292545710269,0.01091498875808901,1,400,l2,sag,,,,,,,
LogisticRegression,0.7395796223726397,0.752814727854258,0.7619723306136928,0.009585679142320948,0.1,400,l2,lbfgs,,,,,,,
LogisticRegression,0.7395796223726397,0.752814727854258,0.7619723306136928,0.009585679142320948,0.1,100,l2,newton-cg,,,,,,,
LogisticRegression,0.7395796223726397,0.752814727854258,0.7619723306136928,0.009585679142320948,0.1,200,l2,newton-cg,,,,,,,
LogisticRegression,0.7395796223726397,0.752814727854258,0.7619723306136928,0.009585679142320948,0.1,400,l2,newton-cg,,,,,,,
LogisticRegression,0.7395796223726397,0.752814727854258,0.7619723306136928,0.009585679142320948,0.1,300,l2,newton-cg,,,,,,,
LogisticRegression,0.7384176764076977,0.7526382385327247,0.7603833865814698,0.010068808153699862,0.1,100,l2,lbfgs,,,,,,,
LogisticRegression,0.7395796223726397,0.7526365604039987,0.7609929078014184,0.009352499218372794,0.1,300,l2,lbfgs,,,,,,,
GradientBoostingClassifier,0.737809187279152,0.752626839157565,0.7616724738675957,0.010562551722780596,,,,,,,,,,60,1.0
LogisticRegression,0.738231098430813,0.7526097546741318,0.7601135557132719,0.010170487033191596,0.1,200,l2,liblinear,,,,,,,
LogisticRegression,0.738231098430813,0.7526097546741318,0.7601135557132719,0.010170487033191596,0.1,400,l2,liblinear,,,,,,,
LogisticRegression,0.738231098430813,0.7526097546741318,0.7601135557132719,0.010170487033191596,0.1,300,l2,liblinear,,,,,,,
LogisticRegression,0.738231098430813,0.7526097546741318,0.7601135557132719,0.010170487033191596,0.1,100,l2,liblinear,,,,,,,
LogisticRegression,0.7401855817273376,0.7525948542637684,0.7665260196905767,0.010807151536556635,1,300,l2,sag,,,,,,,
LogisticRegression,0.7393465909090908,0.7525878042220334,0.7659274903203097,0.010851830138872816,10,300,l2,sag,,,,,,,
LogisticRegression,0.7391304347826088,0.7524555507258904,0.7648506151142356,0.01052079420303685,1,200,l2,lbfgs,,,,,,,
LogisticRegression,0.7370674277559758,0.7524234778201349,0.7615330021291696,0.010921092599785773,0.1,200,l2,lbfgs,,,,,,,
LogisticRegression,0.738231098430813,0.752400016930232,0.7612628591699185,0.01012361380276894,0.1,400,l2,sag,,,,,,,
LogisticRegression,0.7380442541042114,0.7522817676117999,0.7608232789212207,0.010134243062825189,0.1,300,l2,sag,,,,,,,
LogisticRegression,0.7375937165298108,0.7521900144413517,0.7605533877261439,0.010357722961249085,0.1,300,l2,saga,,,,,,,
LogisticRegression,0.7370674277559758,0.7521628682683144,0.7605533877261439,0.010696247120383974,0.1,100,l2,sag,,,,,,,
LogisticRegression,0.7370674277559758,0.7520722680069339,0.7605533877261439,0.01064007443934951,0.1,200,l2,saga,,,,,,,
LogisticRegression,0.7370674277559758,0.7517756362240279,0.7605533877261439,0.01046503125648144,0.1,200,l2,sag,,,,,,,
LogisticRegression,0.7370674277559758,0.7517756362240279,0.7605533877261439,0.01046503125648144,0.1,400,l2,saga,,,,,,,
LogisticRegression,0.7373304782298359,0.7515964899904283,0.7592329545454546,0.010095965837969822,0.1,100,l2,saga,,,,,,,
LogisticRegression,0.7383845604002859,0.7513558300514798,0.7632782272247626,0.010189823750461449,10,200,l2,sag,,,,,,,
LogisticRegression,0.7382978723404254,0.7511927801431929,0.7665260196905767,0.011652358043991645,10,400,l2,sag,,,,,,,
LogisticRegression,0.7402643801357628,0.7511129691132662,0.7617366749029298,0.008767469797615774,1,300,l2,saga,,,,,,,
LogisticRegression,0.7379335001787629,0.7510878217042473,0.7635467980295567,0.01046813849764845,10,400,l2,saga,,,,,,,
LogisticRegression,0.7381974248927038,0.7509576123925088,0.7612994350282485,0.009585130308191329,10,100,l2,sag,,,,,,,
LogisticRegression,0.738835298320829,0.7507053275324383,0.7643536456498767,0.010493434333776707,1,200,l2,sag,,,,,,,
LogisticRegression,0.7365418894830659,0.7506509057244289,0.7642505277973257,0.011317737439428663,10,300,l1,saga,,,,,,,
LogisticRegression,0.7348837209302326,0.7506010271296883,0.7610307094952347,0.011310333832717795,1,300,l1,saga,,,,,,,
GradientBoostingClassifier,0.7431421446384041,0.7506008162109161,0.7599858607281723,0.0070100345919194545,,,,,,,,,,60,0.8
LogisticRegression,0.7387580299785866,0.7505903178087013,0.7643536456498767,0.0105382026311048,1,400,l2,saga,,,,,,,
LogisticRegression,0.7380100214745884,0.7505433649869193,0.76113074204947,0.009538763687997562,10,200,l2,saga,,,,,,,
LogisticRegression,0.735073292813729,0.7504972596928855,0.7598160594269544,0.010985017806728897,1,400,l1,saga,,,,,,,
LogisticRegression,0.7371042333689078,0.7504770068786654,0.7618374558303886,0.010197063659944,10,400,l1,saga,,,,,,,
LogisticRegression,0.7409789210432297,0.7504187371230472,0.7566231013776051,0.006784109176047397,10,100,l2,saga,,,,,,,
SGDClassifier,0.7387580299785866,0.7500669331839634,0.7592146055804341,0.00849003573983642,,200,l2,,0.1,modified_huber,,,,,
