estimator,min_score,mean_score,max_score,std_score,C,max_iter,penalty,solver,alpha,loss,kernel,criterion,max_features,n_estimators,learning_rate
LogisticRegression,0.7473948975925261,0.755216028066648,0.769502294387575,0.010117072514703949,1,100,l2,saga,,,,,,,
LogisticRegression,0.7438016528925621,0.7547117492011827,0.7743300423131171,0.013901322690717827,1,100,l1,saga,,,,,,,
LogisticRegression,0.7412738395106153,0.754673636265089,0.7754237288135594,0.014878930764569273,1,300,l1,liblinear,,,,,,,
LogisticRegression,0.7412738395106153,0.7545294497266234,0.7749911691981631,0.014677887865009513,1,400,l1,liblinear,,,,,,,
LogisticRegression,0.7412738395106153,0.7545245613323829,0.7754237288135594,0.014953879666149772,1,200,l1,liblinear,,,,,,,
LogisticRegression,0.7445360085990684,0.7544285080309004,0.7733990147783253,0.013418294577240994,1,100,l2,lbfgs,,,,,,,
LogisticRegression,0.7424460431654677,0.754352241093907,0.7722143864598026,0.012861921785659949,1,400,l1,saga,,,,,,,
LogisticRegression,0.7447879223580157,0.7543363476465322,0.7708039492242595,0.01169372093239687,1,300,l1,saga,,,,,,,
LogisticRegression,0.7445203018325548,0.75425558764851,0.7724234963067184,0.012857654308245545,1,200,l1,saga,,,,,,,
LogisticRegression,0.7412738395106153,0.7542311933791166,0.7749911691981631,0.014829593437718726,1,100,l1,liblinear,,,,,,,
LogisticRegression,0.7420165052027269,0.7542233001153394,0.7721653126103851,0.012959094298713007,10,100,l1,saga,,,,,,,
ExtraTreesClassifier,0.7427724240177909,0.754030592311726,0.764727141308276,0.008971769242190689,,,,,,,,entropy,log2,10,
GradientBoostingClassifier,0.7523910733262487,0.7539143026823952,0.7568695652173912,0.0020900178107297477,,,,,,,,,,110,1.0
LogisticRegression,0.7415649676956211,0.7535384309219855,0.7721653126103851,0.013349063890996132,10,100,l2,saga,,,,,,,
RandomForestClassifier,0.7416572928383952,0.7527796547612526,0.759307040176926,0.007904165657199296,,,,,,,,,,10,
GradientBoostingClassifier,0.7333333333333334,0.7526161591458731,0.7624113475177305,0.013635594972506706,,,,,,,,,,210,0.8
GradientBoostingClassifier,0.735252808988764,0.7523377206008509,0.7614356087262493,0.012089366089143593,,,,,,,,,,160,0.8
GradientBoostingClassifier,0.7463222102619304,0.751716823917924,0.762369337979094,0.00753267170379826,,,,,,,,,,210,1.0
RidgeClassifier,0.7459190915542938,0.7516022455982244,0.7610062893081762,0.006697743348631947,,,,,0.7,,,,,,
LogisticRegression,0.7388809182209468,0.7513353114012126,0.7704745166959578,0.013736906515041211,10,200,l1,saga,,,,,,,
